timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/23 13:29:12.142, 0, 230.80 W, 32, 412 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:12.147, 1, 198.53 W, 34, 660 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:12.152, 2, 185.57 W, 31, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:12.158, 3, 199.42 W, 35, 315 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:12.163, 4, 178.78 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:12.172, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:12.180, 6, 177.90 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:12.188, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.196, 0, 182.68 W, 31, 262 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.197, 1, 187.64 W, 34, 420 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.197, 2, 184.02 W, 31, 150 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.197, 3, 185.89 W, 35, 180 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.197, 4, 179.02 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.197, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.197, 6, 177.90 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:13.197, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 0, 181.50 W, 31, 180 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 1, 185.72 W, 34, 262 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 2, 183.99 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 3, 184.99 W, 34, 127 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 4, 178.79 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 6, 177.84 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:14.197, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 0, 180.45 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 1, 184.95 W, 34, 165 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 2, 183.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 3, 184.96 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 4, 178.88 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 6, 177.80 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:15.197, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 0, 180.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 1, 184.46 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 2, 183.98 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 3, 184.96 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 4, 178.86 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 6, 177.86 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:16.197, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 0, 180.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 1, 183.63 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 2, 183.98 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 3, 184.95 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 4, 178.70 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 6, 178.02 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:17.197, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:18.197, 0, 180.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:18.197, 1, 183.16 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:18.197, 2, 183.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:29:18.197, 3, 184.95 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
