timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 06:14:42.768, 0, 218.97 W, 32, 390 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:42.773, 1, 251.33 W, 36, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:42.777, 2, 191.17 W, 32, 292 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:42.783, 3, 206.49 W, 35, 322 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:42.788, 4, 178.86 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:42.795, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:42.803, 6, 178.06 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:42.810, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 0, 182.24 W, 31, 247 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 1, 238.88 W, 35, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 2, 185.21 W, 31, 187 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 3, 186.28 W, 35, 202 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 4, 178.98 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 6, 177.84 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:43.818, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 0, 180.84 W, 31, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 1, 198.96 W, 34, 547 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 3, 184.94 W, 35, 135 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 4, 178.71 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 6, 177.88 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:44.818, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 0, 180.22 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 1, 187.21 W, 34, 375 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 3, 184.99 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 4, 178.90 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 6, 177.90 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:45.818, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 1, 185.26 W, 34, 217 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 2, 184.07 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 3, 185.00 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 4, 178.81 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 6, 178.02 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:46.818, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 1, 184.95 W, 34, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 2, 184.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 3, 185.01 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 4, 178.73 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 6, 177.84 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:47.818, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 1, 184.69 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 2, 184.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 3, 184.99 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 4, 179.00 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 6, 177.80 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:48.819, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 1, 184.21 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 2, 184.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 3, 184.99 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 4, 179.00 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 6, 178.03 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:49.819, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 1, 183.84 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 2, 184.06 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 3, 185.01 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 4, 178.87 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 6, 177.83 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:50.819, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 0, 180.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 1, 183.32 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 2, 184.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 3, 184.98 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 4, 178.76 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 6, 177.84 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:51.819, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 1, 183.08 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 3, 184.99 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 4, 178.97 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 6, 178.14 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:52.819, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:53.819, 0, 180.11 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:53.819, 1, 183.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:53.819, 2, 184.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:53.819, 3, 184.98 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:14:53.819, 4, 178.86 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
