timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 02:00:55.929, 0, 222.01 W, 34, 382 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:55.940, 1, 201.45 W, 37, 330 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:55.957, 2, 251.10 W, 34, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:55.961, 3, 191.80 W, 38, 495 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:55.966, 4, 178.81 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:55.973, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:55.981, 6, 177.59 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:55.989, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 0, 182.96 W, 33, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 1, 185.98 W, 37, 210 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 2, 215.38 W, 33, 997 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 3, 188.70 W, 37, 315 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 4, 178.79 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 6, 177.77 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:56.998, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 0, 181.93 W, 33, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 1, 185.07 W, 36, 135 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 2, 192.75 W, 33, 630 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 3, 186.95 W, 37, 195 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 4, 178.88 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 6, 177.79 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:57.998, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 0, 181.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 1, 185.07 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 2, 188.85 W, 32, 397 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 3, 186.24 W, 37, 127 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 4, 178.84 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 6, 177.58 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:58.998, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 0, 180.32 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 1, 184.96 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 2, 186.80 W, 32, 247 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 3, 185.73 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 4, 178.81 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 6, 177.67 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:00:59.998, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 0, 180.35 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 1, 185.07 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 2, 186.04 W, 32, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 3, 185.50 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 4, 178.61 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 6, 177.79 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:00.998, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 0, 180.24 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 1, 185.07 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 2, 184.75 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 3, 185.35 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 4, 178.76 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 6, 177.76 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:01.999, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 0, 180.20 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 1, 185.07 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 3, 186.64 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 4, 178.66 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 5, 180.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 6, 178.07 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:02.999, 7, 176.60 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 0, 180.16 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 1, 185.07 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 3, 186.24 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 4, 178.63 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 6, 177.86 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:03.999, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 0, 180.13 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 1, 185.07 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 3, 185.87 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 4, 178.76 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 6, 177.61 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:04.999, 7, 176.60 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 0, 180.13 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 1, 185.07 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 3, 185.54 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 4, 178.74 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 5, 180.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 6, 177.58 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:05.999, 7, 176.61 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 0, 180.13 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 1, 185.04 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 3, 185.54 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 4, 178.78 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 5, 180.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 6, 177.80 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:06.999, 7, 176.61 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:07.999, 0, 180.12 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:08.000, 1, 184.96 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:08.000, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:08.000, 3, 185.23 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:08.000, 4, 178.79 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:08.000, 5, 180.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:08.000, 6, 177.79 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:08.000, 7, 176.62 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 1, 184.62 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 3, 185.13 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 4, 178.97 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 6, 177.91 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:09.000, 7, 176.60 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 1, 183.97 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 3, 185.09 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 4, 179.35 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 5, 180.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 6, 177.76 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:10.000, 7, 176.63 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 1, 183.63 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 3, 185.07 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 4, 178.87 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 6, 177.75 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 02:01:11.000, 7, 176.60 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
